,id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
16,AH20G002,0,1,0,0,0,0
17,AH19A030,0,1,0,0,0,0
18,AH17A055,0,0,0,0,1,0
19,AH17F009,0,0,1,0,0,0
20,AH17F008,0,1,0,0,0,0
21,AH17B040,0,0,0,0,1,0
22,AH17E177,0,0,0,0,1,0
23,AH21L024,0,0,0,1,0,0
24,AH17D002,0,0,0,1,0,0
25,AH21E035,0,0,0,0,0,1
26,AH21K077,0,0,0,0,1,0
27,CPO103,0,0,0,0,1,0
28,AH21H012,0,1,0,0,0,0
29,AH17A022,1,0,0,0,0,0
30,AH17D090,0,1,0,0,0,0
31,AH17A033,0,0,0,0,1,0
32,AH17E176,0,0,0,1,0,0
33,AH17B051,0,1,0,0,0,0
34,AH19I054,0,0,0,0,0,1
35,CPO459,0,0,0,1,0,0
36,AH17E005,0,0,0,0,1,0
37,AH17E175,0,0,0,0,0,1
38,AH17E021,1,0,0,0,0,0
39,AH16L010,0,1,0,0,0,0
40,AH17E171,0,0,0,0,0,1
41,CPO532,0,0,0,0,0,1
42,AH17E029,0,0,0,1,0,0
43,AH16L008,0,1,0,0,0,0
44,AH17A045,0,0,1,0,0,0
45,CPO086,0,0,0,0,0,1
46,AH17A048,0,1,0,0,0,0
47,AH17D103,0,0,0,0,1,0
48,AH21L001,0,0,1,0,0,0
49,AH17D100,1,0,0,0,0,0
50,AH17A026,1,0,0,0,0,0
51,AH19D018,1,0,0,0,0,0
52,CPO522,0,0,0,1,0,0
53,AH17E023,0,0,1,0,0,0
54,AH17B036,0,0,1,0,0,0
55,AH17C066,0,0,1,0,0,0
56,AH17E036,1,0,0,0,0,0
57,AH17B054,1,0,0,0,0,0
58,AH17E006,1,0,0,0,0,0
59,CPO102,0,0,0,1,0,0
60,AH17F007,0,0,0,0,0,1
61,AH17A028,1,0,0,0,0,0
62,AH21D052,1,0,0,0,0,0
63,AH20J048,0,0,1,0,0,0
64,AH18K065,0,0,0,1,0,0
65,AH17D108,0,0,0,0,1,0
66,AH17D102,0,0,0,1,0,0
67,AH21G062,0,1,0,0,0,0
68,AH21C067,0,0,0,1,0,0
69,AH17B035,0,0,0,1,0,0
70,CPO175,0,0,0,0,1,0
71,AH21F047,0,0,0,0,1,0
72,AH16L009,0,0,0,0,1,0
73,AH17J035,0,0,0,0,1,0
74,AH18J052,0,0,0,0,1,0
75,AH17F004,0,1,0,0,0,0
