0,1,2,3,4,5,6,7,id
0.95008504,0.8868777,0.77358216,0.32961875,0.21396634,0.18916754,0.45186684,0.60594296,AH17E043
0.9551333,0.8920802,0.778744,0.33138457,0.21447115,0.19275367,0.45375934,0.60727227,AH17H008
0.98134756,0.91653717,0.7976673,0.3493944,0.22316128,0.19059685,0.45810696,0.62765086,AH17F006
0.9513634,0.8869696,0.7743704,0.33018044,0.2140821,0.19227435,0.45241976,0.6054818,AH17E034
0.96712345,0.9073179,0.7900791,0.34412014,0.21948142,0.18768297,0.45402634,0.6198834,AH17A046
0.9772032,0.9111933,0.79385597,0.339597,0.22098373,0.19611973,0.46309292,0.6204861,AH19J057
0.96936345,0.9047196,0.7892527,0.3371299,0.21943282,0.19663696,0.4607888,0.61623544,AH20K003
0.95418656,0.8903537,0.77587724,0.3337363,0.21530853,0.18879825,0.45181492,0.6102483,AH17C024
0.9516604,0.88793945,0.77473915,0.33106902,0.21424143,0.19099268,0.45191124,0.6068529,AH17A030
0.9829781,0.91764987,0.79987836,0.3450142,0.2237887,0.19281648,0.4625751,0.6252052,CPO383
0.96008676,0.8960078,0.7807877,0.33804563,0.21752746,0.18913238,0.45217285,0.6135462,AH20G046
0.93316644,0.86959875,0.75875586,0.31693986,0.2103091,0.19184497,0.45104876,0.59339654,AH17E026
0.9590608,0.89490193,0.78068525,0.33527318,0.21623167,0.19085155,0.45412186,0.611944,AH20C074
0.94351435,0.8802411,0.7676221,0.32635057,0.21230844,0.188359,0.45001552,0.6015174,AH21G058
0.94036555,0.8791452,0.7678455,0.3263654,0.2119966,0.18719982,0.44903633,0.6011254,AH17B039
0.9330777,0.86898243,0.7589535,0.31731856,0.20893733,0.19237499,0.45074838,0.5937112,AH17B021
0.9445501,0.88193405,0.76993555,0.32651773,0.21275985,0.18884501,0.45122266,0.60239625,AH17A012
0.9365681,0.87660235,0.7671617,0.32447824,0.21010067,0.18815796,0.4480051,0.59808403,AH17A077
0.94732344,0.8869755,0.77354586,0.32994512,0.21350534,0.18904263,0.4504415,0.6044898,AH20F005
0.95783657,0.89292246,0.7791124,0.33243343,0.21477593,0.19320256,0.45535576,0.6103652,AH17F003
0.9444415,0.8818428,0.7706262,0.32636702,0.21147956,0.19298194,0.45128614,0.60089684,AH17B070
0.9737376,0.90845686,0.7936944,0.33426416,0.22062029,0.19950567,0.4640039,0.61442703,AH16L024
0.9743985,0.91018623,0.7928768,0.34050405,0.22144222,0.19523792,0.4608082,0.62032276,AH21B072
0.95241946,0.8882282,0.7752256,0.3305173,0.21387726,0.19311975,0.45266458,0.6059439,AH20H031
